date,TCMNOM_M3
20000103,5.48
20000104,5.43
20000105,5.44
20000106,5.41
20000107,5.38
20000110,5.42
20000111,5.43
20000112,5.45
20000113,5.41
20000114,5.41
20000117,
20000118,5.56
20000119,5.51
20000120,5.48
20000121,5.47
20000124,5.55
20000125,5.57
20000126,5.58
20000127,5.59
20000128,5.65
20000131,5.76
20000201,5.71
20000202,5.66
20000203,5.63
20000204,5.67
20000207,5.72
20000208,5.69
20000209,5.66
20000210,5.67
20000211,5.66
20000214,5.68
20000215,5.75
20000216,5.73
20000217,5.74
20000218,5.75
20000221,
20000222,5.82
20000223,5.82
20000224,5.81
20000225,5.79
20000228,5.8
20000229,5.78
20000301,5.76
20000302,5.76
20000303,5.79
20000306,5.85
20000307,5.83
20000308,5.83
20000309,5.82
20000310,5.87
20000313,5.89
20000314,5.87
20000315,5.85
20000316,5.87
20000317,5.89
20000320,5.95
20000321,5.91
20000322,5.91
20000323,5.9
20000324,5.91
20000327,5.88
20000328,5.88
20000329,5.89
20000330,5.88
20000331,5.88
20000403,5.87
20000404,5.83
20000405,5.86
20000406,5.88
20000407,5.9
20000410,5.85
20000411,5.83
20000412,5.83
20000413,5.81
20000414,5.81
20000417,5.82
20000418,5.81
20000419,5.81
20000420,5.79
20000421,
20000424,5.8
20000425,5.79
20000426,5.75
20000427,5.75
20000428,5.82
20000501,6
20000502,5.92
20000503,5.91
20000504,5.9
20000505,5.97
20000508,6.19
20000509,6.14
20000510,6.14
20000511,6.14
20000512,6.14
20000515,6.25
20000516,6.2
20000517,6.05
20000518,5.92
20000519,5.89
20000522,6.01
20000523,6.01
20000524,5.92
20000525,5.85
20000526,5.83
20000529,
20000530,5.87
20000531,5.63
20000601,5.74
20000602,5.87
20000605,5.98
20000606,5.99
20000607,5.92
20000608,5.91
20000609,5.92
20000612,5.93
20000613,5.88
20000614,5.82
20000615,5.84
20000616,5.83
20000619,5.84
20000620,5.79
20000621,5.81
20000622,5.84
20000623,5.86
20000626,5.82
20000627,5.83
20000628,5.81
20000629,5.85
20000630,5.88
20000703,6
20000704,
20000705,5.99
20000706,6.02
20000707,6.04
20000710,6.1
20000711,6.1
20000712,6.17
20000713,6.18
20000714,6.17
20000717,6.15
20000718,6.16
20000719,6.18
20000720,6.18
20000721,6.13
20000724,6.21
20000725,6.2
20000726,6.18
20000727,6.22
20000728,6.2
20000731,6.27
20000801,6.25
20000802,6.25
20000803,6.23
20000804,6.23
20000807,6.28
20000808,6.26
20000809,6.25
20000810,6.25
20000811,6.29
20000814,6.27
20000815,6.28
20000816,6.27
20000817,6.27
20000818,6.27
20000821,6.3
20000822,6.28
20000823,6.29
20000824,6.29
20000825,6.31
20000828,6.32
20000829,6.31
20000830,6.32
20000831,6.31
20000901,6.27
20000904,
20000905,6.27
20000906,6.21
20000907,6.2
20000908,6.14
20000911,6.11
20000912,6.09
20000913,6.09
20000914,6.14
20000915,6.14
20000918,6.15
20000919,6.17
20000920,6.16
20000921,6.16
20000922,6.16
20000925,6.18
20000926,6.18
20000927,6.2
20000928,6.25
20000929,6.23
20001002,6.27
20001003,6.24
20001004,6.24
20001005,6.25
20001006,6.24
20001009,
20001010,6.27
20001011,6.23
20001012,6.19
20001013,6.19
20001016,6.28
20001017,6.3
20001018,6.3
20001019,6.32
20001020,6.31
20001023,6.34
20001024,6.35
20001025,6.39
20001026,6.36
20001027,6.35
20001030,6.39
20001031,6.38
20001101,6.37
20001102,6.37
20001103,6.38
20001106,6.42
20001107,6.42
20001108,6.41
20001109,6.4
20001110,6.37
20001113,6.39
20001114,6.37
20001115,6.38
20001116,6.35
20001117,6.35
20001120,6.36
20001121,6.36
20001122,6.36
20001123,
20001124,6.36
20001127,6.33
20001128,6.28
20001129,6.24
20001130,6.21
20001201,6.23
20001204,6.15
20001205,6.08
20001206,6.09
20001207,6.11
20001208,6.09
20001211,6.08
20001212,6.06
20001213,6.06
20001214,6.06
20001215,6.02
20001218,5.95
20001219,5.93
20001220,5.82
20001221,5.38
20001222,5.27
20001225,
20001226,5.85
20001227,5.75
20001228,5.87
20001229,5.89
20010101,
20010102,5.87
20010103,5.69
20010104,5.37
20010105,5.12
20010108,5.19
20010109,5.24
20010110,5.29
20010111,5.31
20010112,5.33
20010115,
20010116,5.38
20010117,5.36
20010118,5.28
20010119,5.24
20010122,5.23
20010123,5.24
20010124,5.28
20010125,5.28
20010126,5.17
20010129,5.11
20010130,5.02
20010131,4.99
20010201,5
20010202,5.06
20010205,5.06
20010206,5.07
20010207,5.07
20010208,5.08
20010209,5.06
20010212,5.04
20010213,5.05
20010214,5.07
20010215,5.08
20010216,5.02
20010219,
20010220,5.04
20010221,5.02
20010222,5.01
20010223,4.89
20010226,4.81
20010227,4.82
20010228,4.85
20010301,4.84
20010302,4.84
20010305,4.82
20010306,4.79
20010307,4.69
20010308,4.68
20010309,4.72
20010312,4.66
20010313,4.66
20010314,4.54
20010315,4.52
20010316,4.54
20010319,4.53
20010320,4.49
20010321,4.31
20010322,4.26
20010323,4.29
20010326,4.29
20010327,4.35
20010328,4.34
20010329,4.32
20010330,4.3
20010402,4.22
20010403,4.15
20010404,4.1
20010405,4.11
20010406,3.94
20010409,3.93
20010410,3.94
20010411,4.08
20010412,4.01
20010413,
20010416,4.15
20010417,4.12
20010418,3.91
20010419,3.87
20010420,3.77
20010423,3.75
20010424,3.8
20010425,3.84
20010426,3.83
20010427,3.85
20010430,3.95
20010501,3.92
20010502,3.89
20010503,3.84
20010504,3.74
20010507,3.74
20010508,3.7
20010509,3.72
20010510,3.74
20010511,3.78
20010514,3.71
20010515,3.63
20010516,3.57
20010517,3.57
20010518,3.61
20010521,3.65
20010522,3.64
20010523,3.64
20010524,3.7
20010525,3.66
20010528,
20010529,3.71
20010530,3.68
20010531,3.63
20010601,3.67
20010604,3.68
20010605,3.63
20010606,3.62
20010607,3.63
20010608,3.64
20010611,3.6
20010612,3.56
20010613,3.55
20010614,3.56
20010615,3.52
20010618,3.52
20010619,3.51
20010620,3.49
20010621,3.51
20010622,3.45
20010625,3.46
20010626,3.46
20010627,3.52
20010628,3.64
20010629,3.65
20010702,3.67
20010703,3.66
20010704,
20010705,3.65
20010706,3.63
20010709,3.65
20010710,3.63
20010711,3.58
20010712,3.6
20010713,3.62
20010716,3.64
20010717,3.61
20010718,3.54
20010719,3.55
20010720,3.53
20010723,3.56
20010724,3.56
20010725,3.56
20010726,3.56
20010727,3.55
20010730,3.57
20010731,3.54
20010801,3.53
20010802,3.53
20010803,3.52
20010806,3.52
20010807,3.52
20010808,3.49
20010809,3.45
20010810,3.43
20010813,3.45
20010814,3.43
20010815,3.43
20010816,3.39
20010817,3.36
20010820,3.42
20010821,3.39
20010822,3.38
20010823,3.4
20010824,3.42
20010827,3.45
20010828,3.41
20010829,3.42
20010830,3.36
20010831,3.37
20010903,
20010904,3.44
20010905,3.41
20010906,3.34
20010907,3.27
20010910,3.26
20010911,
20010912,
20010913,2.74
20010914,2.64
20010917,2.59
20010918,2.48
20010919,2.19
20010920,2.22
20010921,2.25
20010924,2.38
20010925,2.4
20010926,2.38
20010927,2.38
20010928,2.4
20011001,2.37
20011002,2.26
20011003,2.23
20011004,2.21
20011005,2.19
20011008,
20011009,2.22
20011010,2.22
20011011,2.27
20011012,2.25
20011015,2.25
20011016,2.22
20011017,2.22
20011018,2.19
20011019,2.19
20011022,2.22
20011023,2.2
20011024,2.17
20011025,2.14
20011026,2.14
20011029,2.09
20011030,2.05
20011031,2.05
20011101,2.06
20011102,2.01
20011105,2.01
20011106,1.85
20011107,1.8
20011108,1.84
20011109,1.83
20011112,
20011113,1.84
20011114,1.87
20011115,1.92
20011116,1.95
20011119,1.94
20011120,1.95
20011121,1.96
20011122,
20011123,1.95
20011126,1.98
20011127,1.92
20011128,1.87
20011129,1.8
20011130,1.78
20011203,1.78
20011204,1.74
20011205,1.77
20011206,1.75
20011207,1.69
20011210,1.71
20011211,1.66
20011212,1.67
20011213,1.69
20011214,1.73
20011217,1.74
20011218,1.71
20011219,1.69
20011220,1.69
20011221,1.71
20011224,1.72
20011225,
20011226,1.75
20011227,1.74
20011228,1.72
20011231,1.74
20020101,
20020102,1.74
20020103,1.73
20020104,1.72
20020107,1.68
20020108,1.68
20020109,1.68
20020110,1.68
20020111,1.58
20020114,1.58
20020115,1.6
20020116,1.61
20020117,1.64
20020118,1.62
20020121,
20020122,1.7
20020123,1.71
20020124,1.72
20020125,1.72
20020128,1.76
20020129,1.72
20020130,1.75
20020131,1.76
20020201,1.76
20020204,1.77
20020205,1.76
20020206,1.74
20020207,1.73
20020208,1.73
20020211,1.75
20020212,1.75
20020213,1.76
20020214,1.75
20020215,1.74
20020218,
20020219,1.76
20020220,1.76
20020221,1.76
20020222,1.76
20020225,1.77
20020226,1.77
20020227,1.77
20020228,1.79
20020301,1.77
20020304,1.81
20020305,1.8
20020306,1.78
20020307,1.78
20020308,1.81
20020311,1.86
20020312,1.84
20020313,1.82
20020314,1.86
20020315,1.86
20020318,1.88
20020319,1.85
20020320,1.84
20020321,1.84
20020322,1.84
20020325,1.85
20020326,1.81
20020327,1.81
20020328,1.79
20020329,
20020401,1.79
20020402,1.8
20020403,1.79
20020404,1.78
20020405,1.76
20020408,1.75
20020409,1.73
20020410,1.71
20020411,1.72
20020412,1.71
20020415,1.72
20020416,1.74
20020417,1.73
20020418,1.72
20020419,1.73
20020422,1.72
20020423,1.73
20020424,1.72
20020425,1.74
20020426,1.75
20020429,1.78
20020430,1.77
20020501,1.77
20020502,1.77
20020503,1.76
20020506,1.78
20020507,1.76
20020508,1.76
20020509,1.77
20020510,1.77
20020513,1.79
20020514,1.78
20020515,1.76
20020516,1.75
20020517,1.76
20020520,1.77
20020521,1.75
20020522,1.74
20020523,1.74
20020524,1.74
20020527,
20020528,1.77
20020529,1.75
20020530,1.75
20020531,1.74
20020603,1.77
20020604,1.76
20020605,1.75
20020606,1.74
20020607,1.74
20020610,1.76
20020611,1.75
20020612,1.74
20020613,1.72
20020614,1.71
20020617,1.74
20020618,1.73
20020619,1.71
20020620,1.73
20020621,1.72
20020624,1.74
20020625,1.73
20020626,1.7
20020627,1.7
20020628,1.7
20020701,1.72
20020702,1.72
20020703,1.72
20020704,
20020705,1.72
20020708,1.73
20020709,1.72
20020710,1.72
20020711,1.72
20020712,1.71
20020715,1.72
20020716,1.72
20020717,1.72
20020718,1.72
20020719,1.71
20020722,1.7
20020723,1.7
20020724,1.69
20020725,1.7
20020726,1.69
20020729,1.72
20020730,1.72
20020731,1.71
20020801,1.68
20020802,1.63
20020805,1.64
20020806,1.65
20020807,1.59
20020808,1.62
20020809,1.62
20020812,1.68
20020813,1.63
20020814,1.64
20020815,1.62
20020816,1.62
20020819,1.67
20020820,1.62
20020821,1.63
20020822,1.65
20020823,1.65
20020826,1.68
20020827,1.68
20020828,1.67
20020829,1.68
20020830,1.69
20020902,
20020903,1.64
20020904,1.63
20020905,1.61
20020906,1.66
20020909,1.69
20020910,1.68
20020911,1.69
20020912,1.69
20020913,1.69
20020916,1.71
20020917,1.7
20020918,1.68
20020919,1.65
20020920,1.65
20020923,1.65
20020924,1.65
20020925,1.66
20020926,1.65
20020927,1.63
20020930,1.57
20021001,1.59
20021002,1.58
20021003,1.57
20021004,1.61
20021007,1.63
20021008,1.61
20021009,1.57
20021010,1.58
20021011,1.58
20021014,
20021015,1.68
20021016,1.66
20021017,1.67
20021018,1.67
20021021,1.71
20021022,1.69
20021023,1.68
20021024,1.65
20021025,1.64
20021028,1.59
20021029,1.51
20021030,1.51
20021031,1.44
20021101,1.43
20021104,1.43
20021105,1.42
20021106,1.23
20021107,1.22
20021108,1.22
20021111,
20021112,1.22
20021113,1.21
20021114,1.22
20021115,1.22
20021118,1.23
20021119,1.21
20021120,1.22
20021121,1.22
20021122,1.23
20021125,1.24
20021126,1.22
20021127,1.23
20021128,
20021129,1.22
20021202,1.24
20021203,1.23
20021204,1.22
20021205,1.22
20021206,1.21
20021209,1.23
20021210,1.21
20021211,1.21
20021212,1.21
20021213,1.21
20021216,1.23
20021217,1.22
20021218,1.21
20021219,1.21
20021220,1.21
20021223,1.19
20021224,1.19
20021225,
20021226,1.18
20021227,1.16
20021230,1.22
20021231,1.22
20030101,
20030102,1.22
20030103,1.22
20030106,1.21
20030107,1.19
20030108,1.19
20030109,1.2
20030110,1.2
20030113,1.21
20030114,1.19
20030115,1.2
20030116,1.18
20030117,1.18
20030120,
20030121,1.19
20030122,1.17
20030123,1.17
20030124,1.16
20030127,1.17
20030128,1.18
20030129,1.18
20030130,1.18
20030131,1.18
20030203,1.18
20030204,1.16
20030205,1.18
20030206,1.17
20030207,1.17
20030210,1.17
20030211,1.18
20030212,1.18
20030213,1.17
20030214,1.18
20030217,
20030218,1.19
20030219,1.18
20030220,1.19
20030221,1.19
20030224,1.21
20030225,1.2
20030226,1.21
20030227,1.21
20030228,1.2
20030303,1.2
20030304,1.19
20030305,1.18
20030306,1.18
20030307,1.12
20030310,1.08
20030311,1.1
20030312,1.1
20030313,1.12
20030314,1.13
20030317,1.15
20030318,1.14
20030319,1.16
20030320,1.17
20030321,1.18
20030324,1.17
20030325,1.18
20030326,1.18
20030327,1.16
20030328,1.14
20030331,1.14
20030401,1.12
20030402,1.13
20030403,1.11
20030404,1.11
20030407,1.17
20030408,1.15
20030409,1.13
20030410,1.14
20030411,1.17
20030414,1.2
20030415,1.18
20030416,1.17
20030417,1.18
20030418,
20030421,1.18
20030422,1.18
20030423,1.17
20030424,1.15
20030425,1.14
20030428,1.14
20030429,1.15
20030430,1.13
20030501,1.1
20030502,1.12
20030505,1.13
20030506,1.1
20030507,1.11
20030508,1.09
20030509,1.11
20030512,1.1
20030513,1.09
20030514,1.06
20030515,1.06
20030516,1.05
20030519,1.05
20030520,1.04
20030521,1.06
20030522,1.08
20030523,1.08
20030526,
20030527,1.09
20030528,1.12
20030529,1.1
20030530,1.11
20030602,1.14
20030603,1.08
20030604,1.05
20030605,1.04
20030606,1.05
20030609,1.03
20030610,0.97
20030611,0.94
20030612,0.92
20030613,0.86
20030616,0.87
20030617,0.9
20030618,0.89
20030619,0.81
20030620,0.83
20030623,0.85
20030624,0.83
20030625,0.92
20030626,0.91
20030627,0.87
20030630,0.9
20030701,0.89
20030702,0.87
20030703,0.87
20030704,
20030707,0.92
20030708,0.92
20030709,0.9
20030710,0.89
20030711,0.89
20030714,0.91
20030715,0.92
20030716,0.91
20030717,0.9
20030718,0.91
20030721,0.93
20030722,0.93
20030723,0.93
20030724,0.93
20030725,0.93
20030728,0.97
20030729,0.99
20030730,0.98
20030731,0.96
20030801,0.95
20030804,0.97
20030805,0.96
20030806,0.95
20030807,0.95
20030808,0.96
20030811,0.96
20030812,0.95
20030813,0.96
20030814,0.96
20030815,0.95
20030818,0.96
20030819,0.96
20030820,0.96
20030821,0.97
20030822,0.98
20030825,1.02
20030826,1.01
20030827,1
20030828,0.99
20030829,0.98
20030901,
20030902,0.98
20030903,0.97
20030904,0.97
20030905,0.96
20030908,0.97
20030909,0.96
20030910,0.96
20030911,0.96
20030912,0.96
20030915,0.96
20030916,0.93
20030917,0.95
20030918,0.96
20030919,0.95
20030922,0.95
20030923,0.93
20030924,0.95
20030925,0.94
20030926,0.94
20030929,0.96
20030930,0.95
20031001,0.95
20031002,0.94
20031003,0.94
20031006,0.94
20031007,0.92
20031008,0.91
20031009,0.91
20031010,0.92
20031013,
20031014,0.93
20031015,0.93
20031016,0.93
20031017,0.93
20031020,0.95
20031021,0.93
20031022,0.96
20031023,0.96
20031024,0.95
20031027,0.98
20031028,0.96
20031029,0.96
20031030,0.96
20031031,0.96
20031103,0.96
20031104,0.95
20031105,0.96
20031106,0.96
20031107,0.96
20031110,0.97
20031111,
20031112,0.95
20031113,0.94
20031114,0.95
20031117,0.96
20031118,0.96
20031119,0.95
20031120,0.95
20031121,0.94
20031124,0.96
20031125,0.95
20031126,0.94
20031127,
20031128,0.93
20031201,0.95
20031202,0.94
20031203,0.94
20031204,0.93
20031205,0.92
20031208,0.93
20031209,0.93
20031210,0.93
20031211,0.9
20031212,0.91
20031215,0.9
20031216,0.91
20031217,0.9
20031218,0.89
20031219,0.88
20031222,0.9
20031223,0.9
20031224,0.9
20031225,
20031226,0.87
20031229,0.9
20031230,0.94
20031231,0.95
20040101,
20040102,0.93
20040105,0.91
20040106,0.91
20040107,0.91
20040108,0.88
20040109,0.87
20040112,0.89
20040113,0.89
20040114,0.88
20040115,0.88
20040116,0.89
20040119,
20040120,0.89
20040121,0.89
20040122,0.88
20040123,0.9
20040126,0.9
20040127,0.91
20040128,0.94
20040129,0.94
20040130,0.92
20040202,0.94
20040203,0.94
20040204,0.94
20040205,0.94
20040206,0.93
20040209,0.94
20040210,0.95
20040211,0.93
20040212,0.93
20040213,0.92
20040216,
20040217,0.95
20040218,0.94
20040219,0.94
20040220,0.94
20040223,0.97
20040224,0.97
20040225,0.96
20040226,0.96
20040227,0.96
20040301,0.97
20040302,0.97
20040303,0.97
20040304,0.96
20040305,0.94
20040308,0.96
20040309,0.96
20040310,0.96
20040311,0.97
20040312,0.96
20040315,0.96
20040316,0.96
20040317,0.93
20040318,0.93
20040319,0.94
20040322,0.95
20040323,0.95
20040324,0.93
20040325,0.94
20040326,0.95
20040329,0.96
20040330,0.96
20040331,0.95
20040401,0.93
20040402,0.95
20040405,0.94
20040406,0.94
20040407,0.95
20040408,0.93
20040409,
20040412,0.94
20040413,0.94
20040414,0.95
20040415,0.95
20040416,0.94
20040419,0.96
20040420,0.97
20040421,0.99
20040422,0.97
20040423,0.98
20040426,0.99
20040427,0.98
20040428,0.97
20040429,0.97
20040430,0.98
20040503,1
20040504,1
20040505,0.99
20040506,1
20040507,1.07
20040510,1.08
20040511,1.05
20040512,1.04
20040513,1
20040514,0.99
20040517,1.06
20040518,1.05
20040519,1.04
20040520,1.03
20040521,1.03
20040524,1.07
20040525,1.07
20040526,1.08
20040527,1.06
20040528,1.08
20040531,
20040601,1.17
20040602,1.17
20040603,1.17
20040604,1.21
20040607,1.24
20040608,1.27
20040609,1.27
20040610,1.3
20040611,
20040614,1.41
20040615,1.34
20040616,1.3
20040617,1.28
20040618,1.29
20040621,1.33
20040622,1.32
20040623,1.29
20040624,1.29
20040625,1.31
20040628,1.38
20040629,1.38
20040630,1.33
20040701,1.22
20040702,1.3
20040705,
20040706,1.34
20040707,1.3
20040708,1.27
20040709,1.28
20040712,1.34
20040713,1.34
20040714,1.34
20040715,1.35
20040716,1.35
20040719,1.35
20040720,1.36
20040721,1.35
20040722,1.37
20040723,1.38
20040726,1.45
20040727,1.46
20040728,1.46
20040729,1.45
20040730,1.45
20040802,1.5
20040803,1.48
20040804,1.49
20040805,1.48
20040806,1.44
20040809,1.51
20040810,1.5
20040811,1.44
20040812,1.43
20040813,1.44
20040816,1.49
20040817,1.48
20040818,1.49
20040819,1.48
20040820,1.49
20040823,1.54
20040824,1.54
20040825,1.54
20040826,1.55
20040827,1.56
20040830,1.61
20040831,1.59
20040901,1.58
20040902,1.6
