Date,SPX,VIX,,
12/31/1998,1229.23,24.4%,,
1/4/1999,1228.1,26.2%,,
1/5/1999,1244.78,24.5%,,
1/6/1999,1272.34,23.3%,,
1/7/1999,1269.73,24.4%,,
1/8/1999,1275.09,23.3%,,
1/11/1999,1263.88,25.5%,,
1/12/1999,1239.51,28.1%,,
1/13/1999,1234.4,30.1%,,
1/14/1999,1212.19,33.0%,,
1/15/1999,1243.26,29.2%,,
1/19/1999,1252,29.2%,,
1/20/1999,1256.62,28.6%,,
1/21/1999,1235.16,30.9%,,
1/22/1999,1225.19,32.0%,,
1/25/1999,1233.98,31.1%,,
1/26/1999,1252.31,29.2%,,
1/27/1999,1243.17,29.7%,,
1/28/1999,1265.37,28.1%,,
1/29/1999,1279.64,26.3%,,
2/1/1999,1273,27.7%,,
2/2/1999,1261.99,28.2%,,
2/3/1999,1272.07,27.9%,,
2/4/1999,1248.49,29.5%,,
2/5/1999,1239.4,29.7%,,
2/8/1999,1243.77,30.3%,,
2/9/1999,1216.14,31.4%,,
2/10/1999,1223.55,30.5%,,
2/11/1999,1254.04,27.4%,,
2/12/1999,1230.13,29.8%,,
2/16/1999,1241.87,29.7%,,
2/17/1999,1224.03,30.7%,,
2/18/1999,1237.28,30.5%,,
2/19/1999,1239.22,29.3%,,
2/22/1999,1272.14,25.9%,,
2/23/1999,1271.18,26.5%,,
2/24/1999,1253.41,27.2%,,
2/25/1999,1245.02,28.0%,,
2/26/1999,1238.33,27.9%,,
3/1/1999,1236.16,28.4%,,
3/2/1999,1225.5,29.2%,,
3/3/1999,1227.7,29.0%,,
3/4/1999,1246.64,26.7%,,
3/5/1999,1275.47,24.1%,,
3/8/1999,1282.73,24.5%,,
3/9/1999,1279.84,25.0%,,
3/10/1999,1286.84,24.8%,,
3/11/1999,1297.68,24.4%,,
3/12/1999,1294.59,24.8%,,
3/15/1999,1307.26,25.2%,,
3/16/1999,1306.38,25.2%,,
3/17/1999,1297.82,25.6%,,
3/18/1999,1316.55,24.1%,,
3/19/1999,1299.29,24.3%,,
3/22/1999,1297.01,25.0%,,
3/23/1999,1262.14,27.3%,,
3/24/1999,1268.59,26.6%,,
3/25/1999,1289.99,24.3%,,
3/26/1999,1282.8,24.0%,,
3/29/1999,1310.17,23.5%,,
3/30/1999,1300.75,22.7%,,
3/31/1999,1286.37,23.3%,,
4/1/1999,1293.72,22.1%,,
4/5/1999,1321.12,22.2%,,
4/6/1999,1317.89,22.7%,,
4/7/1999,1326.89,22.8%,,
4/8/1999,1343.98,22.6%,,
4/9/1999,1348.35,21.8%,,
4/12/1999,1358.64,21.9%,,
4/13/1999,1349.82,22.7%,,
4/14/1999,1328.44,24.9%,,
4/15/1999,1322.86,23.9%,,
4/16/1999,1319,23.9%,,
4/19/1999,1289.48,26.4%,,
4/20/1999,1306.17,25.0%,,
4/21/1999,1336.12,23.3%,,
4/22/1999,1358.82,22.6%,,
4/23/1999,1356.85,22.8%,,
4/26/1999,1360.04,23.5%,,
4/27/1999,1362.8,23.4%,,
4/28/1999,1350.91,24.4%,,
4/29/1999,1342.83,25.1%,,
4/30/1999,1335.18,25.1%,,
5/3/1999,1354.63,24.2%,,
5/4/1999,1332,25.6%,,
5/5/1999,1347.31,25.2%,,
5/6/1999,1332.05,27.4%,,
5/7/1999,1345,25.4%,,
5/10/1999,1340.3,26.6%,,
5/11/1999,1355.61,25.6%,,
5/12/1999,1364,26.1%,,
5/13/1999,1367.56,25.0%,,
5/14/1999,1337.8,26.9%,,
5/17/1999,1339.49,27.3%,,
5/18/1999,1333.32,27.3%,,
5/19/1999,1344.23,25.1%,,
5/20/1999,1338.83,24.5%,,
5/21/1999,1330.29,24.4%,,
5/24/1999,1306.65,27.6%,,
5/25/1999,1284.4,28.9%,,
5/26/1999,1304.76,27.6%,,
5/27/1999,1281.41,28.1%,,
5/28/1999,1301.84,25.4%,,
6/1/1999,1294.26,26.6%,,
6/2/1999,1294.81,26.2%,,
6/3/1999,1299.54,26.2%,,
6/4/1999,1327.75,23.4%,,
6/7/1999,1334.52,23.8%,,
6/8/1999,1317.33,24.0%,,
6/9/1999,1318.64,23.9%,,
6/10/1999,1302.82,25.3%,,
6/11/1999,1293.64,25.9%,,
6/14/1999,1294,26.5%,,
6/15/1999,1301.16,25.9%,,
6/16/1999,1330.41,22.4%,,
6/17/1999,1339.9,22.0%,,
6/18/1999,1342.84,21.8%,,
6/21/1999,1349,21.8%,,
6/22/1999,1335.88,21.7%,,
6/23/1999,1333.06,21.3%,,
6/24/1999,1315.78,23.1%,,
6/25/1999,1315.31,21.8%,,
6/28/1999,1331.35,22.6%,,
6/29/1999,1351.45,22.5%,,
6/30/1999,1372.71,21.1%,,
7/1/1999,1380.96,19.7%,,
7/2/1999,1391.22,18.7%,,
7/6/1999,1388.12,20.7%,,
7/7/1999,1395.86,20.4%,,
7/8/1999,1394.42,20.2%,,
7/9/1999,1403.28,18.0%,,
7/12/1999,1399.1,19.7%,,
7/13/1999,1393.56,20.0%,,
7/14/1999,1398.17,19.7%,,
7/15/1999,1409.62,18.7%,,
7/16/1999,1418.78,17.4%,,
7/19/1999,1407.65,19.1%,,
7/20/1999,1377.1,21.8%,,
7/21/1999,1379.29,21.5%,,
7/22/1999,1360.97,23.1%,,
7/23/1999,1356.94,23.3%,,
7/26/1999,1347.76,25.0%,,
7/27/1999,1362.84,23.2%,,
7/28/1999,1365.4,22.9%,,
7/29/1999,1341.03,24.5%,,
7/30/1999,1328.72,24.6%,,
8/2/1999,1328.05,25.6%,,
8/3/1999,1322.18,26.3%,,
8/4/1999,1305.33,27.4%,,
8/5/1999,1313.71,27.0%,,
8/6/1999,1300.29,26.6%,,
8/9/1999,1297.8,27.7%,,
8/10/1999,1281.43,28.5%,,
8/11/1999,1301.93,25.4%,,
8/12/1999,1298.16,25.0%,,
8/13/1999,1327.68,22.3%,,
8/16/1999,1330.77,23.1%,,
8/17/1999,1344.16,21.7%,,
8/18/1999,1332.84,23.3%,,
8/19/1999,1323.59,24.4%,,
8/20/1999,1336.61,23.0%,,
8/23/1999,1360.22,22.6%,,
8/24/1999,1363.5,22.4%,,
8/25/1999,1381.79,21.0%,,
8/26/1999,1362.01,21.2%,,
8/27/1999,1348.27,21.8%,,
8/30/1999,1324.02,24.6%,,
8/31/1999,1320.41,24.5%,,
9/1/1999,1331.07,22.9%,,
9/2/1999,1319.11,24.5%,,
9/3/1999,1357.24,21.0%,,
9/7/1999,1350.45,23.4%,,
9/8/1999,1344.15,23.8%,,
9/9/1999,1347.66,23.0%,,
9/10/1999,1351.66,22.0%,,
9/13/1999,1344.13,22.9%,,
9/14/1999,1336.29,23.8%,,
9/15/1999,1317.97,24.6%,,
9/16/1999,1318.48,25.3%,,
9/17/1999,1335.42,23.3%,,
9/20/1999,1335.53,24.0%,,
9/21/1999,1307.58,25.7%,,
9/22/1999,1310.51,25.2%,,
9/23/1999,1280.41,27.8%,,
9/24/1999,1277.36,27.8%,,
9/27/1999,1283.31,26.4%,,
9/28/1999,1282.2,26.1%,,
9/29/1999,1268.37,26.5%,,
9/30/1999,1282.71,25.4%,,
10/1/1999,1282.81,24.9%,,
10/4/1999,1304.6,24.5%,,
10/5/1999,1301.35,24.8%,,
10/6/1999,1325.4,22.1%,,
10/7/1999,1317.64,23.6%,,
10/8/1999,1336.02,20.5%,,
10/11/1999,1335.21,20.6%,,
10/12/1999,1313.04,22.8%,,
10/13/1999,1285.55,26.0%,,
10/14/1999,1283.42,26.1%,,
10/15/1999,1247.41,28.8%,,
10/18/1999,1254.13,28.2%,,
10/19/1999,1261.32,26.6%,,
10/20/1999,1289.43,23.9%,,
10/21/1999,1283.61,24.0%,,
10/22/1999,1301.65,21.6%,,
10/25/1999,1293.63,23.6%,,
10/26/1999,1281.91,24.3%,,
10/27/1999,1296.71,24.2%,,
10/28/1999,1342.44,21.3%,,
10/29/1999,1362.93,22.2%,,
11/1/1999,1354.12,22.1%,,
11/2/1999,1347.74,23.1%,,
11/3/1999,1354.93,23.2%,,
11/4/1999,1362.64,23.0%,,
11/5/1999,1370.23,21.7%,,
11/8/1999,1377.01,21.9%,,
11/9/1999,1365.28,22.7%,,
11/10/1999,1373.46,22.3%,,
11/11/1999,1381.46,22.1%,,
11/12/1999,1396.06,21.7%,,
11/15/1999,1394.39,22.7%,,
11/16/1999,1420.07,20.7%,,
11/17/1999,1410.71,21.0%,,
11/18/1999,1424.94,19.8%,,
11/19/1999,1422,19.1%,,
11/22/1999,1420.94,20.0%,,
11/23/1999,1404.64,21.0%,,
11/24/1999,1417.08,20.3%,,
11/26/1999,1416.62,22.3%,,
11/29/1999,1407.83,23.6%,,
11/30/1999,1388.91,24.2%,,
12/1/1999,1397.72,22.2%,,
12/2/1999,1409.04,21.8%,,
12/3/1999,1433.3,19.3%,,
12/6/1999,1423.33,20.6%,,
12/7/1999,1409.17,21.1%,,
12/8/1999,1403.88,21.3%,,
12/9/1999,1408.11,21.2%,,
12/10/1999,1417.04,21.5%,,
12/13/1999,1415.22,21.7%,,
12/14/1999,1403.17,23.1%,,
12/15/1999,1413.32,22.0%,,
12/16/1999,1418.78,21.9%,,
12/17/1999,1421.03,21.4%,,
12/20/1999,1418.09,23.8%,,
12/21/1999,1433.43,22.7%,,
12/22/1999,1436.13,22.4%,,
12/23/1999,1458.34,21.1%,,
12/27/1999,1457.1,23.1%,,
12/28/1999,1457.66,23.0%,,
12/29/1999,1463.46,23.1%,,
12/30/1999,1464.47,24.8%,,
12/31/1999,1469.25,24.6%,,
1/3/2000,1455.22,24.2%,,
1/4/2000,1399.42,27.0%,,
1/5/2000,1402.11,26.4%,,
1/6/2000,1403.45,25.7%,,
1/7/2000,1441.47,21.7%,,
1/10/2000,1457.6,21.7%,,
1/11/2000,1438.56,22.5%,,
1/12/2000,1432.25,22.8%,,
1/13/2000,1449.68,21.7%,,
1/14/2000,1465.15,19.7%,,
1/18/2000,1455.14,21.5%,,
1/19/2000,1455.9,21.7%,,
1/20/2000,1445.57,21.8%,,
1/21/2000,1441.36,20.8%,,
1/24/2000,1401.53,24.1%,,
1/25/2000,1410.03,23.0%,,
1/26/2000,1404.09,23.0%,,
1/27/2000,1398.56,23.5%,,
1/28/2000,1360.16,26.1%,,
1/31/2000,1394.46,25.0%,,
2/1/2000,1409.28,23.5%,,
2/2/2000,1409.12,23.1%,,
2/3/2000,1424.97,22.0%,,
2/4/2000,1424.37,21.5%,,
2/7/2000,1424.24,22.8%,,
2/8/2000,1441.72,21.3%,,
2/9/2000,1411.7,22.9%,,
2/10/2000,1416.83,23.1%,,
2/11/2000,1387.12,24.4%,,
2/14/2000,1389.94,24.4%,,
2/15/2000,1402.05,22.9%,,
2/16/2000,1387.67,23.5%,,
2/17/2000,1388.26,23.2%,,
2/18/2000,1346.09,26.0%,,
2/22/2000,1352.17,25.9%,,
2/23/2000,1360.69,23.9%,,
2/24/2000,1353.43,24.4%,,
2/25/2000,1333.36,25.2%,,
2/28/2000,1348.05,24.7%,,
2/29/2000,1366.42,23.4%,,
3/1/2000,1379.19,21.6%,,
3/2/2000,1381.76,21.1%,,
3/3/2000,1409.17,19.2%,,
3/6/2000,1391.28,21.5%,,
3/7/2000,1355.62,24.3%,,
3/8/2000,1366.7,23.8%,,
3/9/2000,1401.69,22.2%,,
3/10/2000,1395.07,21.2%,,
3/13/2000,1383.62,22.9%,,
3/14/2000,1359.15,24.4%,,
3/15/2000,1392.15,22.3%,,
3/16/2000,1458.47,20.8%,,
3/17/2000,1464.47,22.4%,,
3/20/2000,1456.63,23.0%,,
3/21/2000,1493.87,21.7%,,
3/22/2000,1500.64,21.5%,,
3/23/2000,1527.35,22.3%,,
3/24/2000,1527.46,23.3%,,
3/27/2000,1523.86,24.5%,,
3/28/2000,1507.73,24.9%,,
3/29/2000,1508.52,24.1%,,
3/30/2000,1487.92,25.5%,,
3/31/2000,1498.58,24.1%,,
4/3/2000,1505.97,24.0%,,
4/4/2000,1494.73,27.1%,,
4/5/2000,1487.37,28.4%,,
4/6/2000,1501.34,27.2%,,
4/7/2000,1516.35,24.4%,,
4/10/2000,1504.46,26.0%,,
4/11/2000,1500.59,27.3%,,
4/12/2000,1467.17,29.0%,,
4/13/2000,1440.51,29.4%,,
4/14/2000,1356.56,33.5%,,
4/17/2000,1401.44,29.0%,,
4/18/2000,1441.61,26.1%,,
4/19/2000,1427.47,27.0%,,
4/20/2000,1434.54,25.9%,,
4/24/2000,1429.86,27.4%,,
4/25/2000,1477.44,25.2%,,
4/26/2000,1460.99,27.0%,,
4/27/2000,1464.92,26.2%,,
4/28/2000,1452.43,26.2%,,
5/1/2000,1468.25,25.9%,,
5/2/2000,1446.29,28.5%,,
5/3/2000,1415.1,31.6%,,
5/4/2000,1409.57,30.8%,,
5/5/2000,1432.63,27.5%,,
5/8/2000,1424.17,28.2%,,
5/9/2000,1412.14,28.9%,,
5/10/2000,1383.05,29.9%,,
5/11/2000,1407.81,27.8%,,
5/12/2000,1420.96,26.1%,,
5/15/2000,1452.36,24.9%,,
5/16/2000,1466.04,24.3%,,
5/17/2000,1447.8,24.0%,,
5/18/2000,1437.21,24.0%,,
5/19/2000,1406.95,25.4%,,
5/22/2000,1400.72,26.0%,,
5/23/2000,1373.86,25.9%,,
5/24/2000,1399.05,24.3%,,
5/25/2000,1381.52,24.6%,,
5/26/2000,1378.02,24.5%,,
5/30/2000,1422.45,23.6%,,
5/31/2000,1420.6,23.7%,,
6/1/2000,1448.81,22.4%,,
6/2/2000,1477.26,21.5%,,
6/5/2000,1467.63,22.7%,,
6/6/2000,1457.84,23.1%,,
6/7/2000,1471.36,22.5%,,
6/8/2000,1461.67,22.8%,,
6/9/2000,1456.95,22.1%,,
6/12/2000,1446,22.3%,,
6/13/2000,1469.44,21.7%,,
6/14/2000,1470.54,21.5%,,
6/15/2000,1478.73,20.7%,,
6/16/2000,1464.46,20.5%,,
6/19/2000,1486,20.6%,,
6/20/2000,1475.95,20.9%,,
6/21/2000,1479.13,20.6%,,
6/22/2000,1452.18,22.0%,,
6/23/2000,1441.48,22.3%,,
6/26/2000,1455.31,22.5%,,
6/27/2000,1450.55,21.8%,,
6/28/2000,1454.82,20.3%,,
6/29/2000,1442.39,19.7%,,
6/30/2000,1454.6,19.5%,,
7/3/2000,1469.54,19.8%,,
7/5/2000,1446.23,21.2%,,
7/6/2000,1456.67,20.9%,,
7/7/2000,1478.9,19.2%,,
7/10/2000,1475.62,20.3%,,
7/11/2000,1480.88,20.1%,,
7/12/2000,1492.92,20.0%,,
7/13/2000,1495.84,20.0%,,
7/14/2000,1509.98,19.3%,,
