,Mkt-RF,RF,IBM
199001,-7.85,0.57,4.780876699
199002,1.11,0.57,6.634780511
199003,1.83,0.64,2.166072903
199004,-3.36,0.69,2.709058767
199005,8.42,0.68,11.32465338
199006,-1.09,0.63,-2.083278102
199007,-1.9,0.68,-5.106369153
199008,-10.15,0.66,-7.598237195
199009,-6.12,0.6,4.417099085
199010,-1.92,0.68,-0.822504814
199011,6.35,0.57,8.917458124
199012,2.46,0.6,-0.549974255
199101,4.69,0.52,12.16810243
199102,7.19,0.48,2.555953283
199103,2.65,0.44,-11.5534368
199104,-0.28,0.53,-9.54990204
199105,3.65,0.47,4.251268402
199106,-4.94,0.42,-8.480519122
199107,4.24,0.49,4.247083386
199108,2.32,0.46,-3.160871771
199109,-1.59,0.46,6.96777464
199110,1.29,0.42,-5.186989297
199111,-4.19,0.39,-4.680007054
199112,10.84,0.38,-3.783797343
199201,-0.59,0.34,1.123604764
199202,1.09,0.28,-2.175034249
199203,-2.66,0.34,-3.884925191
199204,1.07,0.32,8.68271669
199205,0.3,0.28,1.312842399
199206,-2.34,0.32,7.851260333
199207,3.77,0.31,-3.19284941
199208,-2.38,0.26,-7.351723712
199209,1.19,0.26,-6.782043308
199210,1.02,0.23,-17.18266358
199211,4.13,0.23,3.898065877
199212,1.53,0.28,-26.19048848
199301,0.93,0.23,2.233264468
199302,0.12,0.22,6.709592899
199303,2.3,0.25,-6.436721189
199304,-3.05,0.24,-4.422672815
199305,2.89,0.22,9.682843056
199306,0.31,0.25,-6.398069525
199307,-0.34,0.24,-9.873426167
199308,3.71,0.25,3.391499908
199309,-0.12,0.26,-8.196715484
199310,1.41,0.22,9.523786476
199311,-1.89,0.25,17.69939237
199312,1.65,0.23,4.872376874
199401,2.87,0.25,0
199402,-2.55,0.21,-5.994380808
199403,-4.78,0.27,3.309652105
199404,0.68,0.27,5.263210558
199405,0.58,0.31,10.04157
199406,-3.03,0.31,-6.746037158
199407,2.82,0.28,5.31917072
199408,4.01,0.37,11.14815036
199409,-2.31,0.37,1.64228518
199410,1.34,0.38,7.001793493
199411,-4.04,0.37,-4.709403159
199412,0.86,0.44,3.886935281
199501,1.8,0.42,-1.87078364
199502,3.63,0.4,4.683438327
