date,M1
1/31/1973,5.5713958
2/28/1973,5.579419263
3/30/1973,5.87491359
4/30/1973,5.987001949
5/31/1973,6.526641041
6/29/1973,7.435697157
7/31/1973,8.31182573
8/31/1973,8.581276902
9/28/1973,7.335158262
10/31/1973,6.928195619
11/30/1973,7.44744155
12/31/1973,7.363522061
1/31/1974,7.550333681
2/28/1974,7.376721753
3/29/1974,8.499502314
4/30/1974,8.7712717
5/31/1974,7.83378472
6/28/1974,7.680673134
7/31/1974,7.714542796
8/30/1974,9.215119446
9/30/1974,6.170482096
10/31/1974,6.672387473
11/29/1974,7.498498524
12/31/1974,6.536854894
1/31/1975,5.539994396
2/28/1975,4.755528236
3/31/1975,5.273898732
4/30/1975,5.213901662
5/30/1975,4.856377345
6/30/1975,5.650760335
7/31/1975,6.029751322
8/29/1975,5.968098304
9/30/1975,6.292235264
10/31/1975,5.315795001
11/28/1975,5.183707452
12/31/1975,5.172030836
1/30/1976,4.521299487
2/27/1976,4.653650321
3/31/1976,4.755533627
4/30/1976,4.693780694
5/28/1976,5.060401979
6/30/1976,5.296169644
7/30/1976,5.081438599
8/31/1976,4.764475863
9/30/1976,5.081799684
10/29/1976,4.755517453
11/30/1976,4.347199536
12/31/1976,4.256614426
1/31/1977,4.551038439
2/28/1977,4.42887475
3/31/1977,4.541416093
4/29/1977,4.388419741
5/31/1977,4.835090151
6/30/1977,4.949368002
7/29/1977,5.346332523
8/31/1977,5.377698643
9/30/1977,5.815163636
10/31/1977,5.824002823
11/30/1977,5.693750452
12/30/1977,5.75402501
1/31/1978,5.996720854
2/28/1978,6.088425174
3/31/1978,6.497225357
4/28/1978,6.04864834
5/31/1978,6.509737254
6/30/1978,6.559570476
7/31/1978,6.517021918
8/31/1978,7.601380813
9/29/1978,8.019309167
10/31/1978,8.536384101
11/30/1978,9.062858733
12/29/1978,8.428012815
1/31/1979,9.521975613
2/28/1979,9.542430033
3/30/1979,9.642170324
4/30/1979,9.569337251
5/31/1979,9.686936307
6/29/1979,8.990156704
7/31/1979,9.09812997
8/31/1979,10.05402019
9/28/1979,10.27916806
10/31/1979,11.71701192
11/30/1979,10.90379885
12/31/1979,9.344482923
1/31/1980,11.72161402
2/29/1980,13.61636786
3/31/1980,15.0506468
4/30/1980,9.237929853
5/30/1980,7.182026332
6/30/1980,6.201022816
7/31/1980,7.499260454
8/29/1980,9.29694616
9/30/1980,10.79497051
10/31/1980,11.68250315
11/28/1980,14.65175102
12/31/1980,12.52763363
1/30/1981,13.91930237
2/27/1981,14.0322819
3/31/1981,13.01669945
4/30/1981,13.81923605
5/29/1981,16.15047685
6/30/1981,14.41128228
