date,mktrf,smb,hml
19671031,-0.009000,-0.002200,0.002300
19671101,-0.012200,0.002700,-0.000800
19671102,-0.004900,-0.001700,-0.000900
19671103,-0.004800,0.004900,-0.002500
19671106,-0.003100,0.001100,-0.002400
19671108,-0.003800,0.001400,0.002000
19671109,0.004100,-0.003700,-0.000900
19671110,0.005800,-0.001400,0.000900
19671113,-0.003100,-0.006000,0.002800
19671114,-0.007300,-0.009000,0.004400
19671115,0.004100,-0.005300,-0.002400
19671116,0.009500,0.002900,-0.005200
19671117,0.003500,0.006400,-0.001700
19671120,-0.013900,-0.009600,-0.000400
19671121,0.017100,0.009700,-0.005600
19671122,0.006600,0.005300,-0.005000
19671124,0.002100,-0.001800,-0.001400
19671127,0.003500,0.003300,-0.004300
19671128,0.005000,0.001200,0.001300
19671129,0.000500,0.001900,0.002200
19671130,-0.004500,0.000000,0.002500
19671201,0.005400,0.005500,-0.001300
19671204,0.006400,0.005300,-0.000800
19671205,0.001100,-0.001200,-0.001300
19671206,0.003600,0.001300,-0.001600
19671207,-0.000900,0.000600,0.003800
19671208,-0.000900,0.004000,-0.003000
19671211,-0.001700,0.007800,-0.002500
19671212,-0.000100,0.005000,-0.003600
19671213,0.004300,0.004400,-0.004800
19671214,0.001600,0.003900,0.002300
19671215,-0.005700,-0.001800,0.005100
19671218,-0.002900,0.003600,-0.000800
19671219,-0.001000,0.002900,-0.003200
19671220,0.005700,-0.000400,0.000200
19671221,0.002500,0.002000,0.001400
19671222,-0.001200,0.004200,0.003400
19671226,0.001500,0.003100,0.002700
19671227,0.006700,0.001300,-0.002200
19671228,-0.000500,-0.000900,0.002700
19671229,0.006400,0.002400,0.000200
19680102,-0.002600,0.002300,0.012000
19680103,-0.005600,-0.000900,0.008400
19680104,-0.003000,-0.000200,0.007100
19680105,0.006400,0.005200,0.004200
19680108,0.007000,0.001200,0.001700
19680109,-0.001500,-0.000400,-0.000600
19680110,0.001400,0.003300,0.000500
19680111,0.002600,0.008900,0.002600
19680112,0.002000,0.007100,-0.001500
19680115,-0.001500,0.005100,-0.000700
19680116,-0.005600,0.005400,0.002300
19680117,-0.001000,0.006700,-0.000800
19680118,-0.000100,0.005900,0.001300
19680119,-0.003400,0.000900,-0.001600
19680122,-0.013800,-0.004400,0.002500
19680123,-0.005100,-0.001300,-0.003000
19680124,-0.004100,0.002400,0.000900
19680125,0.000500,-0.002700,-0.000200
19680126,0.002100,0.006700,0.000200
19680129,-0.001600,0.000200,0.000300
19680130,-0.005600,-0.007300,0.007500
19680131,-0.008300,-0.003800,0.004800
19680201,0.002800,-0.005100,0.002900
19680202,-0.003400,-0.000700,0.003600
19680205,-0.004700,-0.003700,0.002800
19680206,0.000700,-0.001000,0.000900
19680207,0.001500,-0.000100,0.000400
19680208,-0.014200,-0.009600,0.000700
19680209,-0.011900,-0.006800,0.001700
19680213,-0.010500,-0.008900,0.002800
19680214,0.012500,0.003500,-0.007700
19680215,0.002400,0.005400,0.002400
19680216,-0.003900,0.000200,0.003400
19680219,0.003500,0.001700,-0.003600
19680220,0.006200,0.004400,-0.002300
19680221,0.004200,0.002700,-0.004700
19680223,-0.004800,-0.002500,0.002400
19680226,-0.007900,-0.006200,0.002300
19680227,0.004000,-0.000200,-0.001100
19680228,-0.005400,0.001400,0.001100
19680229,-0.008800,-0.004400,0.003100
19680301,-0.004500,-0.006600,0.002100
19680304,-0.015500,-0.011300,0.009600
19680305,-0.004200,-0.009700,-0.001800
19680306,0.018000,0.005700,-0.002500
19680307,-0.001600,0.004900,0.000100
19680308,-0.001000,-0.001200,0.000400
19680311,0.013500,0.005400,-0.002900
19680312,0.001800,0.005500,-0.002100
19680313,-0.001800,0.003400,0.001900
19680314,-0.020900,-0.008900,0.001900
19680315,0.007700,-0.003800,-0.003700
19680318,0.006500,0.005900,-0.004100
19680319,-0.006400,0.000600,0.002800
19680320,-0.000800,-0.000700,-0.001600
19680321,-0.008100,-0.002500,0.002300
19680322,0.000100,-0.003500,0.001700
19680325,-0.001300,-0.001900,0.000200
19680326,0.006600,0.002300,-0.004400
19680327,0.008500,0.002700,-0.005000
19680328,-0.000800,0.001000,0.001200
19680329,0.007000,0.001100,-0.003200
19680401,0.023800,-0.004600,-0.007900
19680402,0.002000,0.001400,0.000800
19680403,0.008700,-0.001700,-0.002100
19680404,0.004600,0.001500,0.001400
19680405,-0.005400,0.003300,0.000900
19680408,0.017300,0.000000,-0.001000
19680410,0.007300,0.000100,-0.001400
19680411,0.009500,0.001500,0.002600
19680415,0.002000,0.006000,-0.000400
19680416,0.001500,0.007800,0.000500
19680417,0.003000,0.005400,0.004100
19680418,0.003100,0.004000,0.005000
19680419,-0.012300,0.001400,-0.004500
19680422,-0.004900,0.003900,-0.002600
19680423,0.012800,0.005300,-0.005100
19680424,0.002700,0.004900,-0.000200
19680425,0.003400,0.003900,-0.000600
19680426,0.003400,0.002600,-0.001300
19680429,0.003000,0.001600,0.000600
19680430,0.001400,0.002900,0.002500
19680501,0.003200,0.000900,0.002100
19680502,0.006200,-0.000100,-0.001300
19680503,0.000800,0.000000,-0.003800
19680506,-0.001800,0.002400,0.002400
19680507,0.005700,0.003000,0.003500
19680508,0.000600,0.004300,-0.001800
19680509,-0.005200,-0.001100,-0.000800
19680510,0.003400,0.007100,0.001000
19680513,-0.001700,0.005800,-0.000600
19680514,-0.000700,0.001900,0.001900
19680515,-0.000600,0.002800,0.000300
19680516,-0.004400,0.000200,0.004100
19680517,-0.005900,0.003000,0.003800
19680520,-0.004700,0.000400,0.000800
19680521,0.005800,0.004900,-0.000700
19680522,0.003200,0.006400,0.002700
19680523,-0.001300,0.004600,-0.002300
19680524,0.003100,0.002600,0.003200
19680527,-0.000400,0.007900,-0.003000
19680528,0.006200,0.001800,-0.004700
19680529,0.003200,0.001300,-0.000200
19680531,0.007600,0.000900,0.002000
19680603,0.012500,-0.000600,-0.003300
19680604,0.005300,0.003000,0.003200
19680605,-0.004700,-0.001900,0.002000
19680606,0.009000,0.004200,0.000100
19680607,0.006700,0.003900,-0.001700
19680610,0.001000,-0.000200,-0.001200
19680611,0.002300,0.002000,0.002800
19680613,-0.004400,-0.001300,-0.002400
19680614,-0.001600,-0.000800,-0.001100
19680617,-0.011200,-0.004300,-0.000200
19680618,-0.001200,0.001400,-0.000600
19680620,0.005100,-0.002900,-0.001000
19680621,0.001400,-0.001500,0.002600
19680624,-0.003900,-0.003200,0.003200
19680625,-0.004400,-0.003500,-0.000300
19680627,-0.001700,0.000400,-0.000400
19680628,-0.003400,0.003600,0.004300
19680701,-0.002300,0.000100,0.006000
19680702,0.004100,0.003500,-0.004100
19680703,0.012500,0.004600,-0.005300
19680708,0.010600,0.002900,-0.003600
