date,FF,Y1,Y5
1/1/1973,,,
1/2/1973,6,5.72,6.29
1/3/1973,5.5,5.69,6.26
1/4/1973,5.75,5.67,6.23
1/5/1973,5.75,5.7,6.27
1/8/1973,5.63,5.74,6.3
1/9/1973,5.5,5.74,6.3
1/10/1973,5.5,5.76,6.31
1/11/1973,5.75,5.79,6.31
1/12/1973,5.75,5.87,6.33
1/15/1973,5.88,5.87,6.31
1/16/1973,6.5,5.89,6.32
1/17/1973,5.63,5.88,6.3
1/18/1973,5.75,5.89,6.32
1/19/1973,6,5.93,6.36
1/22/1973,6,5.94,6.38
1/23/1973,6.25,5.95,6.35
1/24/1973,6.19,6.02,6.39
1/25/1973,6.31,6.04,6.41
1/26/1973,6.38,6.19,6.44
1/29/1973,6.25,6.16,6.44
1/30/1973,6.25,6.08,6.44
1/31/1973,6.5,6.09,6.45
2/1/1973,6.44,6.2,6.56
2/2/1973,6.44,6.23,6.58
2/5/1973,6.25,6.22,6.58
2/6/1973,5.75,6.23,6.58
2/7/1973,5.75,6.18,6.57
2/8/1973,6.25,6.12,6.55
2/9/1973,6.38,6.06,6.51
2/12/1973,6.44,,
2/13/1973,6.75,6.08,6.54
2/14/1973,7.5,6.05,6.54
2/15/1973,7,6,6.53
2/16/1973,7.25,6.01,6.55
2/19/1973,,,
2/20/1973,6.25,6.13,6.65
2/21/1973,5.25,6.21,6.65
2/22/1973,6.38,6.21,6.64
2/23/1973,6.38,6.23,6.6
2/26/1973,6.75,6.38,6.72
2/27/1973,7.5,6.43,6.72
2/28/1973,7.5,6.43,6.73
3/1/1973,7,6.43,6.72
3/2/1973,7.38,6.47,6.77
3/5/1973,7,6.52,6.79
3/6/1973,6.75,6.63,6.83
3/7/1973,6.25,6.63,6.8
3/8/1973,7,6.66,6.83
3/9/1973,7.13,6.74,6.83
3/12/1973,7.25,6.77,6.84
3/13/1973,7.5,6.8,6.81
3/14/1973,6.75,6.85,6.82
3/15/1973,7.25,6.93,6.85
3/16/1973,7.25,7.13,6.92
3/19/1973,7,7.06,6.85
3/20/1973,6.75,7.02,6.85
3/21/1973,6,7.02,6.83
3/22/1973,7.13,7.03,6.84
3/23/1973,7,7.01,6.84
3/26/1973,7.13,6.98,6.76
3/27/1973,7.25,6.96,6.74
3/28/1973,7.25,6.98,6.69
3/29/1973,7.5,6.99,6.68
3/30/1973,7.38,7.09,6.81
4/2/1973,7.38,7.09,6.81
4/3/1973,6.88,7.07,6.77
4/4/1973,6.38,7.03,6.71
4/5/1973,7.13,7,6.7
4/6/1973,7.13,6.87,6.59
4/9/1973,6.75,6.77,6.55
4/10/1973,6.63,6.79,6.58
4/11/1973,6,6.85,6.63
4/12/1973,6.88,6.86,6.64
4/13/1973,6.88,6.81,6.55
4/16/1973,7.13,6.77,6.57
4/17/1973,7.75,6.77,6.66
4/18/1973,8.25,6.74,6.67
4/19/1973,7.38,6.77,6.71
4/20/1973,7,,
4/23/1973,6.88,6.82,6.76
4/24/1973,7.25,6.79,6.73
4/25/1973,7.5,6.8,6.72
4/26/1973,7.38,6.76,6.67
4/27/1973,7.38,6.77,6.7
4/30/1973,7.63,6.8,6.73
5/1/1973,7.88,6.83,6.77
5/2/1973,7,6.83,6.78
5/3/1973,7.44,6.84,6.8
5/4/1973,7.63,6.83,6.83
5/7/1973,7.88,6.83,6.83
5/8/1973,7.75,6.81,6.8
5/9/1973,7.25,6.74,6.78
5/10/1973,7.69,6.72,6.77
5/11/1973,7.88,6.76,6.81
5/14/1973,7.75,6.75,6.8
5/15/1973,7.63,6.71,6.78
5/16/1973,8,6.7,6.76
5/17/1973,8.13,6.85,6.81
5/18/1973,8,6.91,6.83
5/21/1973,7.88,6.97,6.86
5/22/1973,8.19,7,6.86
5/23/1973,8.25,7.08,6.84
5/24/1973,8.13,7.04,6.8
5/25/1973,8,7.04,6.78
5/28/1973,,,
5/29/1973,7.88,7.1,6.8
5/30/1973,7.63,7.16,6.8
5/31/1973,8.13,7.16,6.78
6/1/1973,8.44,7.22,6.78
6/4/1973,8.63,7.28,6.8
6/5/1973,8.69,7.23,6.7
6/6/1973,8.25,7.21,6.57
6/7/1973,8.5,7.2,6.61
6/8/1973,8.25,7.2,6.59
6/11/1973,8.44,7.23,6.62
6/12/1973,8.25,7.2,6.61
6/13/1973,7.25,7.19,6.62
6/14/1973,8.38,7.2,6.62
6/15/1973,8.5,7.19,6.63
6/18/1973,8.69,7.25,6.65
6/19/1973,8.69,7.29,6.66
6/20/1973,8.63,7.29,6.66
6/21/1973,8.69,7.29,6.67
6/22/1973,8.56,7.34,6.7
6/25/1973,8.5,7.39,6.74
6/26/1973,8.75,7.41,6.76
6/27/1973,8.5,7.53,6.78
6/28/1973,8.88,7.58,6.82
6/29/1973,8.88,7.74,6.9
7/2/1973,10,7.98,7
7/3/1973,13,8.03,7.03
7/4/1973,,,
7/5/1973,9.75,8.06,7.02
7/6/1973,9.63,8.11,7.07
7/9/1973,9.75,8.19,7.18
7/10/1973,9.5,8.12,7.11
7/11/1973,8.75,8.02,7.11
7/12/1973,9.75,8.08,7.12
7/13/1973,9.69,8.19,7.17
7/16/1973,11,8.24,7.21
7/17/1973,11.75,8.26,7.22
7/18/1973,10,8.38,7.26
7/19/1973,10.8,8.54,7.39
7/20/1973,10.66,8.61,7.48
7/23/1973,10.81,8.61,7.45
7/24/1973,10.69,8.67,7.5
7/25/1973,9.8,8.71,7.56
7/26/1973,10.69,8.75,7.7
7/27/1973,10.74,8.86,7.78
7/30/1973,11.1,8.89,7.8
7/31/1973,11.22,8.87,7.87
8/1/1973,8.74,8.91,7.94
8/2/1973,10.84,8.91,7.86
8/3/1973,10.71,8.94,7.98
8/6/1973,10.56,9.08,8.06
8/7/1973,10.13,9.23,8.13
8/8/1973,9.05,9.2,7.97
8/9/1973,10.5,9.18,8.01
8/10/1973,10.52,9.22,7.96
8/13/1973,10.54,9.15,7.84
8/14/1973,10.39,9.01,7.81
8/15/1973,9.73,8.97,7.71
8/16/1973,10.49,8.76,7.54
8/17/1973,10.44,8.58,7.41
8/20/1973,10.58,8.77,7.5
8/21/1973,10.74,8.76,7.47
8/22/1973,10.48,8.75,7.51
8/23/1973,10.79,8.55,7.31
8/24/1973,10.84,8.45,7.15
8/27/1973,10.77,8.51,7.23
8/28/1973,10.55,8.54,7.31
8/29/1973,10.88,8.51,7.22
8/30/1973,10.86,8.47,7.26
8/31/1973,11.22,8.47,7.28
9/3/1973,,,
9/4/1973,10.85,8.46,7.22
9/5/1973,8.96,8.36,7.12
9/6/1973,10.73,8.38,7.12
9/7/1973,10.79,8.35,7.1
9/10/1973,11.15,8.44,7.23
9/11/1973,10.92,8.51,7.33
9/12/1973,10.03,8.63,7.33
9/13/1973,10.93,8.71,7.36
9/14/1973,10.82,8.66,7.29
9/17/1973,10.84,8.56,7.11
9/18/1973,10.68,8.4,6.99
9/19/1973,10.71,8.41,7.02
9/20/1973,10.79,8.37,6.95
9/21/1973,10.74,8.25,6.91
9/24/1973,10.69,8.16,6.81
9/25/1973,10.54,8.08,6.79
9/26/1973,11.63,7.95,6.82
9/27/1973,10.92,7.64,6.8
9/28/1973,10.82,7.5,6.72
10/1/1973,10.9,7.55,6.75
10/2/1973,10.73,7.77,6.88
10/3/1973,10.04,7.74,6.82
10/4/1973,10.8,7.76,6.88
10/5/1973,10.62,7.52,6.72
10/8/1973,,,
10/9/1973,9.31,7.42,6.68
10/10/1973,6.48,7.47,6.74
10/11/1973,10.08,7.46,6.74
10/12/1973,10.09,7.37,6.68
10/15/1973,10,7.39,6.75
10/16/1973,10.1,7.43,6.8
10/17/1973,10.02,7.4,6.79
10/18/1973,10.01,7.39,6.77
10/19/1973,9.85,7.31,6.75
10/22/1973,,,
10/23/1973,9.86,7.29,6.8
10/24/1973,10.56,7.19,6.81
10/25/1973,9.81,7.18,6.76
10/26/1973,9.7,7.17,6.76
10/29/1973,9.8,7.16,6.77
10/30/1973,9.95,7.14,6.75
10/31/1973,10.61,7.21,6.8
11/1/1973,9.88,7.33,6.83
11/2/1973,9.71,7.44,6.85
11/5/1973,9.73,7.64,7
11/6/1973,9.76,,
11/7/1973,9.45,7.8,6.98
11/8/1973,9.77,7.71,6.91
11/9/1973,9.75,7.78,6.93
11/12/1973,9.78,7.9,7.03
11/13/1973,10.04,8,7.16
11/14/1973,11.39,8.02,7.19
11/15/1973,10,7.82,7.1
11/16/1973,10.19,7.73,7.05
11/19/1973,10.84,7.54,6.91
11/20/1973,10.77,7.49,6.9
11/21/1973,9.44,7.45,6.8
11/22/1973,,,
11/23/1973,10.17,7.43,6.81
11/26/1973,10.15,7.22,6.76
11/27/1973,10.25,7.25,6.77
11/28/1973,10.26,7.25,6.8
11/29/1973,10.26,7.3,6.8
11/30/1973,10.34,7.28,6.77
12/3/1973,10.45,7.32,6.84
12/4/1973,10.4,7.36,6.85
12/5/1973,9.07,7.48,6.9
12/6/1973,10.24,7.56,6.91
12/7/1973,10.27,7.52,6.88
12/10/1973,10.26,7.32,6.72
12/11/1973,10.16,7.31,6.77
12/12/1973,8.84,7.21,6.73
12/13/1973,10,7.25,6.76
12/14/1973,10.09,7.16,6.74
