"","PERMNO","date","TICKER","CUSIP","MKTCAP","YEAR","TradeDays","AnnualRet","SP500Ret"
"1",10001,20101231,"EGAS","36720410",82413.68,2010,252,0.07407207595554,0.176802797663888
"2",10001,20111230,"EGAS","36720410",93118.68,2011,252,0.139600347646555,-0.0106971168028354
"3",10001,20121231,"EGAS","36720410",76104.81,2012,250,-0.139628720208418,0.157512774868105
"4",10001,20131231,"EGAS","36720410",83929.56,2013,252,-0.091282093843246,0.304720258691208
"5",10001,20141231,"EGAS","36720410",115577.76,2014,252,0.444208611175726,0.105356078147764
"6",10001,20151231,"EGAS","36720410",78262.25,2015,252,-0.280755798203516,-0.0165189327544766
"7",10001,20161230,"EGAS","36720410",132026,2016,252,0.739179235420611,0.127152040369859
"8",10001,20170804,"EGAS","36720410",NA,2017,149,0.0562389134335941,0.111626040964087
"9",10002,20101231,"BTFG","05978R10",47096.13,2010,252,-0.0696864252672069,0.176802797663888
"10",10002,20111230,"BTFG","05978R10",22280.32,2011,252,-0.535582659978172,-0.0106971168028354
"11",10002,20121231,"BTFG","05978R10",49945.48,2012,250,1.24193799104673,0.157512774868105
"12",10002,20130219,"BTFG","05978R10",NA,2013,33,0.0719446244087474,0.0756593900712383
"13",10025,20101231,"AEPI","00103110",159436.8,2010,252,-0.322098047566613,0.176802797663888
"14",10025,20111230,"AEPI","00103110",154543.5,2011,252,0.0847858193696414,-0.0106971168028354
"15",10025,20121231,"AEPI","00103110",327601.13,2012,250,1.10408476971976,0.157512774868105
"16",10025,20131231,"AEPI","00103110",295900.83,2013,252,-0.108053703138103,0.304720258691208
"17",10025,20141231,"AEPI","00103110",295460.15,2014,252,0.100694587206454,0.105356078147764
"18",10025,20151231,"AEPI","00103110",393696.45,2015,252,0.326735486349967,-0.0165189327544766
"19",10025,20161230,"AEPI","00103110",593735.4,2016,252,0.523537720146999,0.127152040369859
"20",10025,20170123,"AEPI","00103110",NA,2017,14,-0.05297194551427,0.0146297989415514
"21",10026,20101231,"JJSF","46603210",894466.08,2010,252,0.21941375910893,0.176802797663888
"22",10026,20111230,"JJSF","46603210",994311.36,2011,252,0.115724708393916,-0.0106971168028354
"23",10026,20121231,"JJSF","46603210",1199916.2673,2012,250,0.210640278084449,0.157512774868105
"24",10026,20131231,"JJSF","46603210",1654949.79,2013,252,0.400835433621387,0.304720258691208
"25",10026,20141231,"JJSF","46603210",2031606.06,2014,252,0.244459610648453,0.105356078147764
"26",10026,20151231,"JJSF","46603210",2179045.59,2015,252,0.0872389269267848,-0.0165189327544766
"27",10026,20161230,"JJSF","46603210",2494740.52303,2016,252,0.159438412231507,0.127152040369859
"28",10026,20171229,"JJSF","46603210",2833755.12,2017,251,0.152372962430911,0.206906317886346
"29",10028,20101231,"DGSE","23323G10",42089.52,2010,252,2.03546375373419,0.176802797663888
"30",10028,20111230,"DGSE","23323G10",83813.4,2011,252,0.745316673164288,-0.0106971168028354
"31",10028,20121231,"DGSE","23323G10",66115.68,2012,250,-0.160022016235387,0.157512774868105
"32",10028,20131231,"DGSE","23323G10",27152.48,2013,252,-0.589318245289896,0.304720258691208
"33",10028,20141231,"DGSE","23323G10",14913.28,2014,252,-0.452917418674153,0.105356078147764
"34",10028,20151231,"DGSE","23323G10",4057.68,2015,252,-0.729509808975528,-0.0165189327544766
"35",10028,20161230,"DGSE","23323G10",15362.36,2016,252,2.75759655283001,0.127152040369859
"36",10028,20171229,"DGSE","23323G10",25083.933,2017,251,-0.249192768160024,0.206906317886346
"37",10032,20101231,"PLXS","72913210",1253410.34,2010,252,0.0863735221663546,0.176802797663888
"38",10032,20111230,"PLXS","72913210",948087.26,2011,252,-0.115061442597011,-0.0106971168028354
"39",10032,20121231,"PLXS","72913210",898872,2012,250,-0.0577088472846189,0.157512774868105
"40",10032,20131231,"PLXS","72913210",1462639.23,2013,252,0.67789357138288,0.304720258691208
"41",10032,20141231,"PLXS","72913210",1384862.05,2014,252,-0.048045654182351,0.105356078147764
"42",10032,20151231,"PLXS","72913210",1161997.92,2015,252,-0.152632330149116,-0.0165189327544766
"43",10032,20161230,"PLXS","72913210",1813366.24,2016,252,0.547547136613338,0.127152040369859
"44",10032,20171229,"PLXS","72913210",2042924.4,2017,251,0.123612382660587,0.206906317886346
"45",10044,20101231,"RMCF","77467X10",58517.6,2010,252,0.243514063396828,0.176802797663888
"46",10044,20111230,"RMCF","77467X10",52316.04,2011,252,-0.0775159720906986,-0.0106971168028354
"47",10044,20121231,"RMCF","77467X10",63888,2012,250,0.28728555985672,0.157512774868105
"48",10044,20131231,"RMCF","77467X10",71006.76,2013,252,0.137964040486438,0.304720258691208
"49",10044,20141231,"RMCF","77467X10",80071.36,2014,252,0.171625244687115,0.105356078147764
"50",10044,20151231,"RMCF","77467X10",62769.25,2015,252,-0.148902197539567,-0.0165189327544766
"51",10044,20161230,"RMCF","77467X10",59652.26,2016,252,-0.00693036713152417,0.127152040369859
"52",10044,20171229,"RMCF","77467X10",69533.7982,2017,251,0.204344583818189,0.206906317886346
"53",10051,20101231,"HGR","41043F20",703338.48,2010,252,0.53217586978818,0.176802797663888
"54",10051,20111230,"HGR","41043F20",629068.02,2011,252,-0.117980904849422,-0.0106971168028354
"55",10051,20121231,"HGR","41043F20",937025.28,2012,250,0.463871477471503,0.157512774868105
"56",10051,20131231,"HGR","41043F20",1367773.12,2013,252,0.437874252926422,0.304720258691208
"57",10051,20141231,"HGR","41043F20",772872.9,2014,252,-0.443310666103713,0.105356078147764
"58",10051,20151231,"HGR","41043F20",580536.95,2015,252,-0.248861312893511,-0.0165189327544766
"59",10051,20160226,"HGR","41043F20",454548.08,2016,38,-0.217021079422033,-0.0506760436846353
"60",10065,20101231,"ADX","00621210",938987.46,2010,252,0.116321429083939,0.176802797663888
"61",10065,20111230,"ADX","00621210",857237,2011,252,-0.0415021661961624,-0.0106971168028354
"62",10065,20121231,"ADX","00621210",964812.54,2012,250,0.170740123054525,0.157512774868105
"63",10065,20131231,"ADX","00621210",1205263.12,2013,252,0.318857951978426,0.304720258691208
"64",10065,20141231,"ADX","00621210",1279203.12,2014,252,0.1382174698687,0.105356078147764
"65",10065,20151231,"ADX","00621210",1224238.6,2015,252,0.00500640335259361,-0.0165189327544766
"66",10065,20161230,"ADX","00621210",1233086.07,2016,252,0.0703022392582193,0.127152040369859
"67",10065,20171229,"ADX","00621210",1483235.55,2017,251,0.295518259035533,0.206906317886346
"68",10078,20100127,"JAVA","86681020",NA,2010,17,0.0128058716808295,-0.0160170487556814
"69",10092,20100528,"KDE","35086510",9754.9712,2010,102,-0.540503847211308,-0.00462905545776093
