PERMNO,DIVAMT,EXDT
10000,,
10001,0.045,20100113
10001,0.045,20100210
10001,0.045,20100311
10001,0.045,20100413
10001,0.045,20100512
10001,0.045,20100611
10001,0.045,20100713
10001,0.045,20100811
10001,0.045,20100913
10001,0.045,20101013
10001,0.045,20101110
10001,0.045,20101213
10001,0.045,20110112
10001,0.045,20110211
10001,0.045,20110311
10001,0.045,20110413
10001,0.045,20110511
10001,0.045,20110613
10001,0.045,20110713
10001,0.045,20110811
10001,0.045,20110913
10001,0.045,20111012
10001,0.045,20111110
10001,0.045,20111213
10001,0.045,20120111
10001,0.045,20120213
10001,0.045,20120313
10001,0.045,20120411
10001,0.045,20120511
10001,0.045,20120613
10001,0.045,20120711
10001,0.045,20120813
10001,0.045,20120912
10001,0.045,20121011
10001,0.045,20121113
10001,0.045,20121211
10001,0.045,20130111
10001,0.045,20130213
10001,0.045,20130313
10001,0.045,20130411
10001,0.045,20130513
10001,0.045,20130612
10001,0.045,20130711
10001,0.045,20130813
10001,0.045,20130911
10001,0.045,20131010
10001,0.045,20131113
10001,0.045,20131211
10001,0.045,20140113
10001,0.045,20140212
10001,0.045,20140312
10001,0.045,20140411
10001,0.045,20140513
10001,0.045,20140611
10001,0.045,20140711
10001,0.045,20140813
10001,0.045,20140911
10001,0.045,20141010
10001,0.045,20141113
10001,0.045,20141217
10001,0.135,20150324
10001,0.135,20150720
10001,0.135,20151020
10001,0.135,20151218
10001,0.075,20160413
10001,0.075,20160712
10001,0.075,20161011
10001,0.075,20161214
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10008,,
10009,,
10010,,
10011,,
10012,,
10013,,
10014,,
10015,,
10016,,
10017,,
10018,,
10019,,
10020,,
10021,,
10022,,
10023,,
10024,,
10025,0.25,20160128
10025,0.25,20160428
10025,0.25,20160728
10025,0.25,20161028
10026,0.1075,20100311
10026,0.1075,20100611
10026,0.1075,20100913
10026,0.1175,20101213
10026,0.1175,20110311
10026,0.1175,20110613
10026,0.1175,20110913
10026,0.13,20111213
10026,0.13,20120313
10026,0.13,20120613
10026,0.13,20120912
10026,0.16,20121207
10026,0.16,20130307
10026,0.16,20130611
10026,0.16,20130912
10026,0.32,20131218
10026,0.32,20140312
10026,0.32,20140611
10026,0.32,20140911
10026,0.36,20141219
10026,0.36,20150311
10026,0.36,20150611
10026,0.36,20150911
10026,0.39,20151218
10026,0.39,20160311
